Architecture,Source Dataset,Target Dataset,Oracle
resnet18,cifar10,voc2007,96.38049080698515
resnet18,imagenet,voc2007,96.7439803061774
googlenet,nabird,voc2007,94.78229094545735
googlenet,oxford_pets,voc2007,95.97180552350181
googlenet,cub200,voc2007,95.79775367335948
googlenet,caltech101,voc2007,95.88718362950996
googlenet,stanford_dogs,voc2007,95.78429109931534
googlenet,cifar10,voc2007,96.21701669359182
googlenet,imagenet,voc2007,95.95449649973075
alexnet,nabird,voc2007,95.50350026925149
alexnet,oxford_pets,voc2007,95.95449649973075
alexnet,cub200,voc2007,95.77467497499808
alexnet,caltech101,voc2007,95.92372490191553
alexnet,stanford_dogs,voc2007,95.77659819986152
alexnet,cifar10,voc2007,95.81217785983537
alexnet,imagenet,voc2007,95.93622586352797
