Architecture,Source Dataset,Target Dataset,Oracle
resnet50,faster-rcnn_fpn_137257794,caltech101,90.91254752851711
resnet50,faster-rcnn_fpn_137849458,caltech101,90.30418250950571
resnet50,faster-rcnn_c4_137257644,caltech101,91.40684410646388
resnet50,npid_imagenet,caltech101,39.353612167300376
resnet101,retinanet_190397697,caltech101,91.93916349809886
resnet101,panoptic-rcnn_fpn_139514519,caltech101,91.33079847908745
resnet50,mask-rcnn_c4_137849525,caltech101,90.53231939163499
resnet101,mask-rcnn_fpn_138205316,caltech101,91.55893536121673
resnet101,faster-rcnn_c4_138204752,caltech101,92.9277566539924
resnet50,mask-rcnn_fpn_137849600,caltech101,90.26615969581749
resnet101,mask-rcnn_fpn_lvis_144219035,caltech101,93.07984790874525
resnet50,clusterfit_imagenet,caltech101,90.41825095057034
resnet50,panoptic-rcnn_fpn_139514569,caltech101,89.04942965779468
resnet101,panoptic-rcnn_fpn_139797668,caltech101,83.30798479087453
resnet50,panoptic-rcnn_fpn_139514544,caltech101,90.79847908745246
resnet50,mask-rcnn_c4_137259246,stanford_dogs,43.07692307692308
resnet50,pirl_imagenet,stanford_dogs,68.71794871794872
resnet50,jigsaw_imagenet22k,stanford_dogs,17.494172494172496
resnet50,keypoint-rcnn_fpn_137261548,stanford_dogs,20.92074592074592
resnet101,simclr_imagenet,stanford_dogs,-1.0
resnet50,moco_imagenet,stanford_dogs,5.419580419580419
resnet50,simclr_imagenet,stanford_dogs,7.913752913752914
resnet50,semisup_yfcc100m,stanford_dogs,84.05594405594405
resnet101,keypoint-rcnn_fpn_138363331,stanford_dogs,42.13286713286713
resnet50,faster-rcnn_c4_voc_142202221,stanford_dogs,58.5081585081585
resnet50,retinanet_190397773,stanford_dogs,56.98135198135198
resnet50,semisup_instagram,stanford_dogs,85.82750582750582
resnet50,mask-rcnn_fpn_cityscapes_142423278,stanford_dogs,33.36829836829837
resnet50,mask-rcnn_fpn_lvis_144219072,stanford_dogs,45.3030303030303
resnet50,mask-rcnn_fpn_137260431,stanford_dogs,45.629370629370634
resnet101,faster-rcnn_fpn_137851257,stanford_dogs,58.63636363636363
resnet50,supervised_places205,stanford_dogs,15.932400932400933
resnet50,retinanet_190397829,stanford_dogs,44.592074592074596
resnet101,mask-rcnn_c4_138363239,stanford_dogs,52.9020979020979
resnet50,deepclusterv2_imagenet,stanford_dogs,31.258741258741257
resnet50,keypoint-rcnn_fpn_137849621,stanford_dogs,22.26107226107226
resnet50,faster-rcnn_c4_137849393,stanford_dogs,37.23776223776224
resnet50,rotnet_imagenet22k,stanford_dogs,11.398601398601398
resnet50,swav_imagenet,stanford_dogs,18.496503496503497
resnet50,faster-rcnn_fpn_137257794,stanford_dogs,48.27505827505828
resnet50,faster-rcnn_fpn_137849458,stanford_dogs,39.4988344988345
resnet50,faster-rcnn_c4_137257644,stanford_dogs,45.45454545454545
resnet50,npid_imagenet,stanford_dogs,1.7599067599067602
resnet101,retinanet_190397697,stanford_dogs,63.56643356643357
resnet101,panoptic-rcnn_fpn_139514519,stanford_dogs,49.16083916083916
resnet50,mask-rcnn_c4_137849525,stanford_dogs,33.869463869463864
resnet101,mask-rcnn_fpn_138205316,stanford_dogs,55.46620046620047
resnet101,faster-rcnn_c4_138204752,stanford_dogs,54.06759906759907
resnet50,mask-rcnn_fpn_137849600,stanford_dogs,36.81818181818181
resnet101,mask-rcnn_fpn_lvis_144219035,stanford_dogs,61.759906759906755
resnet50,clusterfit_imagenet,stanford_dogs,47.66899766899767
resnet50,panoptic-rcnn_fpn_139514569,stanford_dogs,29.242424242424242
resnet101,panoptic-rcnn_fpn_139797668,stanford_dogs,8.7995337995338
resnet50,panoptic-rcnn_fpn_139514544,stanford_dogs,38.72960372960373
resnet50,mask-rcnn_c4_137259246,nabird,71.63561076604555
resnet50,pirl_imagenet,nabird,71.99285511305972
resnet50,jigsaw_imagenet22k,nabird,67.17817561807333
resnet50,keypoint-rcnn_fpn_137261548,nabird,67.87236633783948
resnet101,simclr_imagenet,nabird,-1.0
resnet50,moco_imagenet,nabird,67.70998254374213
resnet50,simclr_imagenet,nabird,63.41087159501482
resnet50,semisup_yfcc100m,nabird,77.83867170056429
resnet101,keypoint-rcnn_fpn_138363331,nabird,70.08484553241587
resnet50,faster-rcnn_c4_voc_142202221,nabird,72.7601185401697
resnet50,retinanet_190397773,nabird,72.46376811594203
resnet50,semisup_instagram,nabird,76.75881946981691
resnet50,mask-rcnn_fpn_cityscapes_142423278,nabird,68.87914586124305
resnet50,mask-rcnn_fpn_lvis_144219072,nabird,70.8358705801161
resnet50,mask-rcnn_fpn_137260431,nabird,71.1728169528681
resnet101,faster-rcnn_fpn_137851257,nabird,72.97121747249624
resnet50,supervised_places205,nabird,71.39203507489952
resnet50,retinanet_190397829,nabird,71.40421385945682
resnet101,mask-rcnn_c4_138363239,nabird,72.60991353062964
resnet50,deepclusterv2_imagenet,nabird,70.08890512726829
resnet50,keypoint-rcnn_fpn_137849621,nabird,67.21471197174522
resnet50,faster-rcnn_c4_137849393,nabird,70.56387772500304
resnet50,rotnet_imagenet22k,nabird,70.00365363536719
resnet50,swav_imagenet,nabird,68.94815897373442
resnet50,faster-rcnn_fpn_137257794,nabird,71.60313400722607
resnet50,faster-rcnn_fpn_137849458,nabird,70.3893151463484
resnet50,faster-rcnn_c4_137257644,nabird,71.42857142857143
resnet50,npid_imagenet,nabird,59.78971298664393
resnet101,retinanet_190397697,nabird,-1.0
resnet101,panoptic-rcnn_fpn_139514519,nabird,-1.0
resnet50,mask-rcnn_c4_137849525,nabird,70.50704339706897
resnet101,mask-rcnn_fpn_138205316,nabird,-1.0
resnet101,faster-rcnn_c4_138204752,nabird,73.34875979377257
resnet50,mask-rcnn_fpn_137849600,nabird,70.05642836844883
resnet101,mask-rcnn_fpn_lvis_144219035,nabird,74.02671213412901
resnet50,clusterfit_imagenet,nabird,64.12536028904316
resnet50,panoptic-rcnn_fpn_139514569,nabird,69.58145577071409
resnet101,panoptic-rcnn_fpn_139797668,nabird,68.58279543701539
resnet50,panoptic-rcnn_fpn_139514544,nabird,70.8845857183453
resnet50,mask-rcnn_c4_137259246,voc2007,97.0074621124702
resnet50,pirl_imagenet,voc2007,96.96418955304254
resnet50,jigsaw_imagenet22k,voc2007,96.02469420724671
resnet50,keypoint-rcnn_fpn_137261548,voc2007,95.04192630202323
resnet101,simclr_imagenet,voc2007,-1.0
resnet50,moco_imagenet,voc2007,94.2380183091007
resnet50,simclr_imagenet,voc2007,93.9476113547196
resnet50,semisup_yfcc100m,voc2007,97.97099776905915
resnet101,keypoint-rcnn_fpn_138363331,voc2007,95.92372490191553
resnet50,faster-rcnn_c4_voc_142202221,voc2007,97.1507423647973
resnet50,retinanet_190397773,voc2007,97.23632587122086
resnet50,semisup_instagram,voc2007,97.98061389337641
resnet50,mask-rcnn_fpn_cityscapes_142423278,voc2007,96.58435264251096
resnet50,mask-rcnn_fpn_lvis_144219072,voc2007,96.85168089853066
resnet50,mask-rcnn_fpn_137260431,voc2007,97.11612431725517
resnet101,faster-rcnn_fpn_137851257,voc2007,97.21420878529118
resnet50,supervised_places205,voc2007,96.50453881067774
resnet50,retinanet_190397829,voc2007,97.14689591507039
resnet101,mask-rcnn_c4_138363239,voc2007,97.1920916993615
resnet50,deepclusterv2_imagenet,voc2007,94.12647126702053
resnet50,keypoint-rcnn_fpn_137849621,voc2007,95.30348488345257
resnet50,faster-rcnn_c4_137849393,voc2007,96.98726825140396
resnet50,rotnet_imagenet22k,voc2007,96.03334871913223
resnet50,swav_imagenet,voc2007,94.13512577890607
resnet50,faster-rcnn_fpn_137257794,voc2007,97.15458881452419
resnet50,faster-rcnn_fpn_137849458,voc2007,97.10362335564274
resnet50,faster-rcnn_c4_137257644,voc2007,97.064197245942
resnet50,npid_imagenet,voc2007,93.52546349719209
resnet101,retinanet_190397697,voc2007,97.28056004308023
resnet101,panoptic-rcnn_fpn_139514519,voc2007,97.09208400646203
resnet50,mask-rcnn_c4_137849525,voc2007,96.96515116547427
resnet101,mask-rcnn_fpn_138205316,voc2007,97.22767135933533
resnet101,faster-rcnn_c4_138204752,voc2007,97.1584352642511
resnet50,mask-rcnn_fpn_137849600,voc2007,97.08054465728134
resnet101,mask-rcnn_fpn_lvis_144219035,voc2007,97.11227786752828
resnet50,clusterfit_imagenet,voc2007,96.21509346872837
resnet50,panoptic-rcnn_fpn_139514569,voc2007,96.81513962612509
resnet101,panoptic-rcnn_fpn_139797668,voc2007,94.88422186322025
resnet50,panoptic-rcnn_fpn_139514544,voc2007,96.93726440495422

resnet50,nabird,cifar10,89.97
resnet50,oxford_pets,cifar10,94.57
resnet50,cub200,cifar10,93.08999999999999
resnet50,caltech101,cifar10,94.42
resnet50,stanford_dogs,cifar10,94.16
resnet50,voc2007,cifar10,94.45
resnet50,imagenet,cifar10,94.53
